,icy EG,Derrek EG,supamen EG,NaturE EG,yay EG
silentzz 2G,,,0 1 -1,,
gobera 2G,,,,,
lz 2G,0 2 -2,,,,
Zap 2G,,,,,
Askia 2G,1 0 +1,,0 1 -1,,1 0 +1
