,icy EG,Derrek EG,supamen EG,NaturE EG,yay EG
silentzz 2G,3 7 -4,5 2 +3,3 5 -2,4 5 -1,3 4 -1
gobera 2G,4 2 +2,3 3 +0,3 3 +0,6 5 +1,4 5 -1
lz 2G,4 5 -1,2 2 +0,6 1 +5,0 3 -3,3 7 -4
Zap 2G,5 1 +4,4 4 +0,1 4 -3,6 3 +3,1 3 -2
Askia 2G,4 4 +0,3 2 +1,5 3 +2,2 4 -2,5 6 -1
