,icy EG,Derrek EG,supamen EG,NaturE EG,yay EG
silentzz 2G,6 2 +4,2 2 +0,3 6 -3,3 5 -2,2 4 -2
gobera 2G,1 2 -1,1 3 -2,4 2 +2,2 2 +0,5 4 +1
lz 2G,1 5 -4,0 2 -2,3 1 +2,1 5 -4,2 2 +0
Zap 2G,3 3 +0,4 2 +2,1 4 -3,4 3 +1,5 4 +1
Askia 2G,2 4 -2,4 4 +0,3 2 +1,3 2 +1,3 4 -1
