,icy EG,Derrek EG,supamen EG,NaturE EG,yay EG
silentzz 2G,1 0 +1,,,1 1 +0,
gobera 2G,,0 2 -2,,,2 0 +2
lz 2G,0 1 -1,0 1 -1,,0 2 -2,1 0 +1
Zap 2G,1 1 +0,,1 0 +1,,
Askia 2G,0 2 -2,2 1 +1,0 1 -1,,
