,Art DFM,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM
t3xture GEN,5 6 -1,2 4 -2,4 2 +2,6 8 -2,10 3 +7
Karon GEN,2 4 -2,7 0 +7,9 3 +6,6 5 +1,3 3 +0
Ash GEN,8 1 +7,9 3 +6,7 4 +3,6 4 +2,1 5 -4
Foxy9 GEN,8 0 +8,6 6 +0,5 3 +2,4 3 +1,6 4 +2
Munchkin GEN,5 0 +5,4 5 -1,5 5 +0,6 4 +2,8 5 +3
