,Art DFM,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM
t3xture GEN,,1 0 +1,1 0 +1,2 0 +2,2 0 +2
Karon GEN,,,,0 1 -1,
Ash GEN,,,,,
Foxy9 GEN,,,,,
Munchkin GEN,,,1 0 +1,,
