,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,5 2 +3,2 0 +2,1 0 +1,1 0 +1,2 1 +1
Meteor T1,5 5 +0,1 2 -1,1 2 -1,0 2 -2,2 1 +1
iZu T1,6 2 +4,,1 4 -3,1 1 +0,1 1 +0
BuZz T1,6 8 -2,3 4 -1,7 3 +4,5 5 +0,3 6 -3
stax T1,3 2 +1,1 0 +1,,1 3 -2,1 2 -1
