,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,2 1 +1,4 3 +1,4 4 +0,3 3 +0,0 5 -5
Meteor T1,4 3 +1,3 5 -2,2 1 +1,3 6 -3,1 1 +0
iZu T1,3 3 +0,5 3 +2,1 2 -1,2 2 +0,0 5 -5
BuZz T1,2 6 -4,1 3 -2,1 3 -2,1 3 -2,3 2 +1
stax T1,1 2 -1,0 1 -1,2 4 -2,2 1 +1,3 5 -2
