,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,5 4 +1,3 5 -2,5 1 +4,1 2 -1,4 3 +1
Meteor T1,3 3 +0,2 4 -2,3 2 +1,2 3 -1,2 3 -1
iZu T1,4 6 -2,3 2 +1,1 2 -1,1 1 +0,4 2 +2
BuZz T1,3 6 -3,2 3 -1,2 6 -4,5 5 +0,4 2 +2
stax T1,2 3 -1,2 1 +1,4 2 +2,6 5 +1,3 2 +1
