,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,3 1 +2,2 3 -1,4 3 +1,3 3 +0,3 4 -1
Meteor T1,7 2 +5,4 4 +0,3 4 -1,3 1 +2,3 5 -2
iZu T1,2 1 +1,1 4 -3,3 3 +0,5 1 +4,4 1 +3
BuZz T1,3 1 +2,3 6 -3,3 3 +0,4 4 +0,4 2 +2
stax T1,1 1 +0,4 1 +3,2 2 +0,0 3 -3,1 3 -2
