,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,2 1 +1,,,,0 1 -1
Meteor T1,3 1 +2,,0 1 -1,,
iZu T1,1 0 +1,,0 2 -2,,
BuZz T1,3 1 +2,1 0 +1,1 0 +1,1 0 +1,1 0 +1
stax T1,,,,0 1 -1,
