,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,1 0 +1,,,1 0 +1,1 0 +1
Meteor T1,1 3 -2,,,,2 0 +2
iZu T1,2 1 +1,,0 1 -1,,1 0 +1
BuZz T1,1 3 -2,1 0 +1,2 0 +2,0 2 -2,0 2 -2
stax T1,1 1 +0,1 0 +1,,1 1 +0,1 1 +0
