,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,2 1 +1,,,,
Meteor T1,0 1 -1,,,,0 1 -1
iZu T1,1 0 +1,,,,
BuZz T1,2 1 +1,0 1 -1,1 1 +0,3 2 +1,2 2 +0
stax T1,1 0 +1,,,0 1 -1,
