,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,6 6 +0,1 6 -5,0 4 -4,3 5 -2,5 6 -1
Meteor T1,1 9 -8,2 8 -6,6 0 +6,5 4 +1,3 3 +0
iZu T1,8 6 +2,6 4 +2,6 4 +2,3 4 -1,6 3 +3
BuZz T1,5 5 +0,2 3 -1,6 6 +0,2 7 -5,3 3 +0
stax T1,2 9 -7,5 1 +4,6 3 +3,10 2 +8,5 7 -2
