,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,18 13 +5,14 18 -4,16 15 +1,14 14 +0,17 21 -4
Meteor T1,20 19 +1,12 23 -11,16 9 +7,18 16 +2,11 18 -7
iZu T1,24 18 +6,17 20 -3,13 13 +0,13 10 +3,16 15 +1
BuZz T1,13 27 -14,8 18 -10,16 20 -4,14 20 -6,16 12 +4
stax T1,10 19 -9,15 9 +6,16 13 +3,21 14 +7,15 17 -2
