,t3xture GEN,Karon GEN,Foxy9 GEN,yoman GEN,Munchkin GEN
carpe T1,2 1 +1,4 1 +3,3 3 +0,4 1 +3,5 3 +2
Meteor T1,5 2 +3,1 2 -1,2 2 +0,5 2 +3,2 6 -4
iZu T1,7 2 +5,2 7 -5,2 2 +0,2 2 +0,2 4 -2
BuZz T1,0 9 -9,0 3 -3,4 2 +2,2 1 +1,2 3 -1
stax T1,4 4 +0,4 5 -1,2 2 +0,3 3 +0,3 0 +3
