,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,2 1 +1,3 2 +1,1 1 +0,0 1 -1,0 1 -1
bang SEN,1 2 -1,0 1 -1,2 3 -1,1 1 +0,1 1 +0
johnqt SEN,1 0 +1,0 1 -1,2 0 +2,1 0 +1,1 0 +1
N4RRATE SEN,1 0 +1,0 1 -1,4 2 +2,2 0 +2,
zekken SEN,3 4 -1,1 0 +1,6 5 +1,1 2 -1,3 2 +1
