,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,0 1 -1,1 1 +0,,,0 1 -1
bang SEN,,,0 2 -2,0 1 -1,0 1 -1
johnqt SEN,1 0 +1,,,,1 0 +1
N4RRATE SEN,1 0 +1,0 1 -1,3 1 +2,1 0 +1,
zekken SEN,0 1 -1,1 0 +1,3 1 +2,,
