,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,12 8 +4,11 10 +1,9 9 +0,12 10 +2,9 7 +2
bang SEN,5 10 -5,8 12 -4,6 11 -5,6 7 -1,8 10 -2
johnqt SEN,7 10 -3,11 6 +5,10 7 +3,7 9 -2,7 9 -2
N4RRATE SEN,3 8 -5,7 9 -2,14 5 +9,12 9 +3,10 11 -1
zekken SEN,14 7 +7,9 9 +0,15 11 +4,7 9 -2,10 9 +1
