,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,7 2 +5,1 4 -3,2 4 -2,5 3 +2,3 1 +2
bang SEN,0 5 -5,2 5 -3,2 7 -5,3 1 +2,2 2 +0
johnqt SEN,3 5 -2,3 2 +1,5 2 +3,3 2 +1,1 3 -2
N4RRATE SEN,2 3 -1,6 4 +2,3 0 +3,5 1 +4,5 3 +2
zekken SEN,3 1 +2,4 2 +2,6 5 +1,3 1 +2,5 3 +2
