,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,1 0 +1,2 1 +1,,,
bang SEN,1 1 +0,0 1 -1,1 0 +1,,1 0 +1
johnqt SEN,,0 1 -1,1 0 +1,,
N4RRATE SEN,,,1 1 +0,,
zekken SEN,1 3 -2,,1 1 +0,0 1 -1,1 1 +0
