,neT C9,v1c C9,OXY C9,mitch C9,Xeppaa C9
Zellsis SEN,2 4 -2,6 3 +3,3 1 +2,3 3 +0,4 4 +0
bang SEN,2 2 +0,2 3 -1,2 3 -1,1 3 -2,2 3 -1
johnqt SEN,4 3 +1,4 1 +3,2 3 -1,3 2 +1,5 3 +2
N4RRATE SEN,1 1 +0,1 5 -4,8 3 +5,4 6 -2,1 3 -2
zekken SEN,8 1 +7,4 5 -1,4 2 +2,3 4 -1,4 3 +1
