,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,3 5 -2,3 5 -2,3 0 +3,3 1 +2,1 3 -2
grubinho MKOI,4 2 +2,2 2 +0,1 2 -1,1 3 -2,1 4 -3
Filu MKOI,2 3 -1,3 2 +1,4 3 +1,4 5 -1,3 4 -1
flyuh MKOI,1 6 -5,1 3 -2,1 0 +1,1 6 -5,1 3 -2
sheydos MKOI,3 3 +0,5 1 +4,2 2 +0,3 5 -2,5 2 +3
