,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,5 8 -3,5 6 -1,8 6 +2,5 5 +0,4 6 -2
grubinho MKOI,6 6 +0,2 6 -4,3 6 -3,4 8 -4,2 6 -4
Filu MKOI,7 6 +1,7 8 -1,7 5 +2,7 9 -2,5 9 -4
flyuh MKOI,3 8 -5,5 7 -2,4 5 -1,4 14 -10,4 4 +0
sheydos MKOI,4 4 +0,6 8 -2,5 5 +0,6 10 -4,7 3 +4
