,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,,0 3 -3,,,
grubinho MKOI,,,,,
Filu MKOI,,,,1 0 +1,
flyuh MKOI,,0 1 -1,,,
sheydos MKOI,,,,,
