,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,,,1 0 +1,,
grubinho MKOI,0 1 -1,,,,
Filu MKOI,1 0 +1,2 1 +1,1 0 +1,3 1 +2,1 0 +1
flyuh MKOI,1 1 +0,0 1 -1,,,
sheydos MKOI,0 1 -1,1 0 +1,0 1 -1,,1 0 +1
