,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,,,1 0 +1,,
grubinho MKOI,1 1 +0,,0 1 -1,0 2 -2,0 1 -1
Filu MKOI,3 0 +3,3 1 +2,1 1 +0,3 1 +2,1 1 +0
flyuh MKOI,1 3 -2,0 2 -2,,0 2 -2,1 0 +1
sheydos MKOI,0 2 -2,1 2 -1,0 2 -2,1 1 +0,1 0 +1
