,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,,,,,
grubinho MKOI,1 0 +1,,0 1 -1,0 2 -2,0 1 -1
Filu MKOI,2 0 +2,1 0 +1,0 1 -1,,0 1 -1
flyuh MKOI,0 2 -2,0 1 -1,,0 2 -2,1 0 +1
sheydos MKOI,0 1 -1,0 2 -2,0 1 -1,1 1 +0,
