,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
soulcas MKOI,2 3 -1,2 1 +1,5 6 -1,2 4 -2,3 3 +0
grubinho MKOI,2 4 -2,0 4 -4,2 4 -2,3 5 -2,1 2 -1
Filu MKOI,5 3 +2,4 6 -2,3 2 +1,3 4 -1,2 5 -3
flyuh MKOI,2 2 +0,4 4 +0,3 5 -2,3 8 -5,3 1 +2
sheydos MKOI,1 1 +0,1 7 -6,3 3 +0,3 5 -2,2 1 +1
