,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,2 4 -2,3 1 +2,3 4 -1,3 5 -2,5 2 +3
trent G2,3 7 -4,5 1 +4,4 3 +1,2 0 +2,2 3 -1
leaf G2,4 5 -1,4 4 +0,4 4 +0,4 1 +3,2 2 +0
valyn G2,2 4 -2,0 4 -4,3 2 +1,6 5 +1,8 2 +6
JonahP G2,7 2 +5,2 5 -3,2 2 +0,1 3 -2,2 5 -3
