,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,1 3 -2,,1 3 -2,1 2 -1,2 0 +2
trent G2,2 2 +0,,2 0 +2,,2 4 -2
leaf G2,1 4 -3,0 1 -1,,2 0 +2,1 2 -1
valyn G2,2 3 -1,0 1 -1,1 0 +1,5 1 +4,2 0 +2
JonahP G2,4 3 +1,1 1 +0,,2 0 +2,0 1 -1
