,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,7 10 -3,7 5 +2,6 9 -3,9 8 +1,10 12 -2
trent G2,10 14 -4,8 5 +3,10 5 +5,5 5 +0,9 9 +0
leaf G2,10 14 -4,10 9 +1,10 10 +0,9 2 +7,9 8 +1
valyn G2,10 9 +1,1 13 -12,7 5 +2,14 10 +4,13 6 +7
JonahP G2,11 7 +4,8 10 -2,5 6 -1,8 10 -2,7 10 -3
