,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,0 1 -1,,1 1 +0,1 0 +1,
trent G2,2 1 +1,,,,0 1 -1
leaf G2,1 2 -1,0 1 -1,,,
valyn G2,0 1 -1,,,2 0 +2,
JonahP G2,1 1 +0,0 1 -1,,,
