,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,2 2 +0,2 2 +0,1 4 -3,3 2 +1,1 5 -4
trent G2,4 3 +1,1 3 -2,2 2 +0,2 3 -1,2 2 +0
leaf G2,2 6 -4,2 3 -1,2 4 -2,1 1 +0,4 1 +3
valyn G2,4 2 +2,1 5 -4,2 1 +1,5 3 +2,3 1 +2
JonahP G2,2 1 +1,2 5 -3,1 2 -1,2 6 -4,3 1 +2
