,OXY C9,runi C9,moose C9,Xeppaa C9,vanity C9
icy G2,3 4 -1,2 2 +0,2 1 +1,3 1 +2,4 5 -1
trent G2,3 4 -1,2 1 +1,4 0 +4,1 2 -1,5 4 +1
leaf G2,4 3 +1,4 2 +2,4 2 +2,4 0 +4,3 5 -2
valyn G2,4 3 +1,0 4 -4,2 2 +0,3 2 +1,2 3 -1
JonahP G2,2 4 -2,4 0 +4,2 2 +0,5 1 +4,2 4 -2
