,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,4 1 +3,1 5 -4,5 2 +3,3 3 +0,2 3 -1
primmie TLN,3 3 +0,6 1 +5,3 1 +2,1 2 -1,5 4 +1
Crws TLN,3 4 -1,3 4 -1,2 2 +0,1 2 -1,1 0 +1
thyy TLN,5 5 +0,3 3 +0,4 1 +3,7 0 +7,5 4 +1
JitBoyS TLN,1 2 -1,1 4 -3,3 2 +1,2 6 -4,4 2 +2
