,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,,,,2 0 +2,
primmie TLN,,0 1 -1,,,
Crws TLN,,,,0 1 -1,1 1 +0
thyy TLN,2 1 +1,1 0 +1,1 0 +1,3 3 +0,1 0 +1
JitBoyS TLN,1 0 +1,0 1 -1,,0 1 -1,0 2 -2
