,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,,,,,
primmie TLN,,1 0 +1,,,
Crws TLN,,,,0 1 -1,
thyy TLN,1 0 +1,2 0 +2,1 0 +1,1 4 -3,2 0 +2
JitBoyS TLN,,,,0 2 -2,
