,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,1 0 +1,0 1 -1,,2 0 +2,0 1 -1
primmie TLN,,3 1 +2,,1 1 +0,1 1 +0
Crws TLN,2 0 +2,,,0 1 -1,1 1 +0
thyy TLN,4 1 +3,1 0 +1,1 1 +0,5 3 +2,1 0 +1
JitBoyS TLN,1 0 +1,0 1 -1,1 0 +1,0 2 -2,0 2 -2
