,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,1 0 +1,0 1 -1,,,0 1 -1
primmie TLN,,3 0 +3,,1 1 +0,1 1 +0
Crws TLN,2 0 +2,,,,
thyy TLN,2 0 +2,,0 1 -1,2 0 +2,
JitBoyS TLN,,,1 0 +1,0 1 -1,
