,iZu T1,DH T1,stax T1,BuZz T1,Meteor T1
Killua TLN,7 4 +3,7 11 -4,11 4 +7,6 5 +1,9 5 +4
primmie TLN,6 6 +0,9 4 +5,7 3 +4,6 3 +3,6 9 -3
Crws TLN,6 7 -1,5 9 -4,3 5 -2,3 3 +0,3 4 -1
thyy TLN,9 8 +1,7 5 +2,6 2 +4,11 5 +6,9 10 -1
JitBoyS TLN,5 3 +2,3 6 -3,6 3 +3,5 10 -5,7 8 -1
