,yetujey FUT,MrFaliN FUT,xeus FUT,AtaKaptan FUT,qRaxs FUT
Avez KC,,,,1 0 +1,
SUYGETSU KC,,,0 1 -1,,
marteen KC,1 2 -1,2 1 +1,2 1 +1,,1 0 +1
saadhak KC,0 2 -2,,1 1 +0,,
Elite KC,,,0 2 -2,,
