,yetujey FUT,MrFaliN FUT,xeus FUT,AtaKaptan FUT,qRaxs FUT
Avez KC,,1 2 -1,1 4 -3,1 1 +0,
SUYGETSU KC,,,0 1 -1,3 0 +3,
marteen KC,2 0 +2,0 1 -1,1 0 +1,0 1 -1,1 0 +1
saadhak KC,,,1 0 +1,,
Elite KC,,,1 1 +0,0 1 -1,
