,yetujey FUT,MrFaliN FUT,xeus FUT,AtaKaptan FUT,qRaxs FUT
Avez KC,,,,,
SUYGETSU KC,1 0 +1,,1 0 +1,1 1 +0,
marteen KC,2 1 +1,1 1 +0,1 0 +1,1 0 +1,
saadhak KC,2 0 +2,0 2 -2,2 3 -1,,2 1 +1
Elite KC,,0 1 -1,1 1 +0,,
