,yetujey FUT,MrFaliN FUT,xeus FUT,AtaKaptan FUT,qRaxs FUT
Avez KC,,1 2 -1,1 4 -3,2 1 +1,
SUYGETSU KC,1 0 +1,,1 2 -1,4 1 +3,
marteen KC,5 3 +2,3 3 +0,4 1 +3,1 1 +0,2 0 +2
saadhak KC,2 2 +0,0 2 -2,4 4 +0,,2 1 +1
Elite KC,,0 1 -1,2 4 -2,0 1 -1,
