,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,,,,,0 2 -2
something PRX,1 0 +1,6 0 +6,2 3 -1,2 0 +2,4 2 +2
Jinggg PRX,,,0 2 -2,,0 2 -2
f0rsakeN PRX,,,0 1 -1,,0 1 -1
d4v41 PRX,,,0 1 -1,,
