,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,3 4 -1,4 2 +2,3 2 +1,2 3 -1,4 6 -2
something PRX,1 3 -2,5 3 +2,4 3 +1,2 0 +2,8 6 +2
Jinggg PRX,5 2 +3,4 3 +1,5 5 +0,4 1 +3,2 6 -4
f0rsakeN PRX,3 3 +0,1 5 -4,4 5 -1,6 0 +6,0 5 -5
d4v41 PRX,5 2 +3,3 4 -1,2 4 -2,2 3 -1,3 2 +1
