,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,,,,,
something PRX,,2 1 +1,0 2 -2,1 0 +1,3 0 +3
Jinggg PRX,2 0 +2,1 3 -2,,,0 1 -1
f0rsakeN PRX,,0 2 -2,0 2 -2,0 1 -1,0 1 -1
d4v41 PRX,2 0 +2,0 3 -3,0 1 -1,,
