,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,2 4 -2,3 3 +0,2 5 -3,1 4 -3,1 1 +0
something PRX,5 1 +4,6 1 +5,2 7 -5,4 3 +1,3 2 +1
Jinggg PRX,0 1 -1,3 4 -1,8 7 +1,1 2 -1,4 4 +0
f0rsakeN PRX,8 1 +7,6 4 +2,4 8 -4,5 0 +5,5 1 +4
d4v41 PRX,1 4 -3,2 2 +0,3 3 +0,4 4 +0,6 6 +0
