,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,,,,,0 1 -1
something PRX,,1 0 +1,0 1 -1,1 0 +1,1 4 -3
Jinggg PRX,0 1 -1,,1 1 +0,2 0 +2,1 1 +0
f0rsakeN PRX,1 1 +0,0 1 -1,0 2 -2,,0 1 -1
d4v41 PRX,,1 0 +1,,,0 1 -1
