,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,9 10 -1,11 8 +3,11 10 +1,6 13 -7,9 10 -1
something PRX,8 9 -1,17 7 +10,9 14 -5,13 8 +5,21 10 +11
Jinggg PRX,9 4 +5,10 14 -4,18 16 +2,8 8 +0,9 12 -3
f0rsakeN PRX,16 8 +8,12 15 -3,13 18 -5,15 5 +10,6 8 -2
d4v41 PRX,10 8 +2,9 13 -4,5 13 -8,9 7 +2,11 13 -2
