,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,4 2 +2,4 3 +1,6 3 +3,3 6 -3,4 3 +1
something PRX,2 5 -3,6 3 +3,3 4 -1,7 5 +2,10 2 +8
Jinggg PRX,4 1 +3,3 7 -4,5 4 +1,3 5 -2,3 2 +1
f0rsakeN PRX,5 4 +1,5 6 -1,5 5 +0,4 5 -1,1 2 -1
d4v41 PRX,4 2 +2,4 7 -3,0 6 -6,3 0 +3,2 5 -3
