,valyn G2,JonahP G2,leaf G2,trent G2,jawgemo G2
PatMen PRX,,,0 2 -2,0 1 -1,0 1 -1
something PRX,1 0 +1,4 1 +3,1 7 -6,3 0 +3,4 5 -1
Jinggg PRX,2 1 +1,2 3 -1,1 2 -1,2 0 +2,2 2 +0
f0rsakeN PRX,1 1 +0,1 3 -2,3 5 -2,0 1 -1,1 2 -1
d4v41 PRX,2 0 +2,1 4 -3,0 1 -1,,0 3 -3
