,eeiu 100T,Boostio 100T,zander 100T,Cryocells 100T,Asuna 100T
jawgemo G2,3 5 -2,4 2 +2,6 8 -2,5 6 -1,4 1 +3
trent G2,3 2 +1,8 2 +6,6 3 +3,5 8 -3,3 4 -1
JonahP G2,2 3 -1,7 4 +3,3 6 -3,3 5 -2,0 2 -2
leaf G2,8 3 +5,3 3 +0,3 2 +1,6 6 +0,9 7 +2
valyn G2,5 2 +3,1 5 -4,4 4 +0,5 5 +0,9 4 +5
