,eeiu 100T,Boostio 100T,zander 100T,Cryocells 100T,Asuna 100T
jawgemo G2,3 0 +3,,1 2 -1,1 0 +1,1 1 +0
trent G2,,,,,
JonahP G2,0 1 -1,,,,
leaf G2,,1 0 +1,,1 0 +1,
valyn G2,,1 0 +1,2 0 +2,,2 0 +2
