,eeiu 100T,Boostio 100T,zander 100T,Cryocells 100T,Asuna 100T
jawgemo G2,1 0 +1,,1 0 +1,0 1 -1,3 1 +2
trent G2,0 1 -1,,,,0 1 -1
JonahP G2,,,0 1 -1,,2 1 +1
leaf G2,,1 2 -1,1 0 +1,,3 3 +0
valyn G2,,0 1 -1,,1 1 +0,
