,eeiu 100T,Boostio 100T,zander 100T,Cryocells 100T,Asuna 100T
jawgemo G2,10 10 +0,7 4 +3,13 14 -1,13 11 +2,11 12 -1
trent G2,11 10 +1,18 4 +14,15 5 +10,9 14 -5,8 7 +1
JonahP G2,5 10 -5,14 6 +8,6 13 -7,7 10 -3,9 6 +3
leaf G2,13 8 +5,10 11 -1,4 7 -3,14 12 +2,18 13 +5
valyn G2,10 8 +2,7 12 -5,11 9 +2,13 14 -1,14 6 +8
