,eeiu 100T,Boostio 100T,zander 100T,Cryocells 100T,Asuna 100T
jawgemo G2,4 3 +1,,2 2 +0,3 2 +1,1 4 -3
trent G2,4 2 +2,5 1 +4,5 1 +4,3 0 +3,3 1 +2
JonahP G2,1 3 -2,3 0 +3,1 2 -1,2 1 +1,3 0 +3
leaf G2,0 4 -4,2 2 +0,0 2 -2,4 3 +1,3 0 +3
valyn G2,2 4 -2,6 2 +4,4 0 +4,3 2 +1,4 1 +3
