,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,4 3 +1,2 1 +1,6 3 +3,3 6 -3,1 4 -3
heat KRÜ,4 0 +4,7 5 +2,6 0 +6,5 3 +2,4 4 +0
Shyy KRÜ,4 1 +3,2 2 +0,3 5 -2,5 4 +1,6 4 +2
Melser KRÜ,4 0 +4,4 4 +0,1 6 -5,4 2 +2,4 4 +0
mta KRÜ,3 3 +0,3 4 -1,0 4 -4,4 1 +3,4 2 +2
