,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,3 1 +2,,4 4 +0,5 6 -1,1 2 -1
heat KRÜ,1 0 +1,2 1 +1,0 1 -1,2 0 +2,3 0 +3
Shyy KRÜ,0 2 -2,,1 1 +0,4 2 +2,2 0 +2
Melser KRÜ,0 1 -1,,1 2 -1,1 1 +0,4 3 +1
mta KRÜ,0 1 -1,,,3 2 +1,
