,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,15 6 +9,6 6 +0,14 10 +4,9 16 -7,7 7 +0
heat KRÜ,12 4 +8,16 13 +3,11 5 +6,11 7 +4,15 7 +8
Shyy KRÜ,10 11 -1,10 8 +2,6 9 -3,15 10 +5,8 7 +1
Melser KRÜ,8 6 +2,6 8 -2,10 12 -2,10 6 +4,15 11 +4
mta KRÜ,8 13 -5,13 7 +6,5 11 -6,13 12 +1,7 4 +3
