,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,1 0 +1,1 0 +1,1 0 +1,1 1 +0,1 1 +0
heat KRÜ,,,,,
Shyy KRÜ,,,,0 1 -1,1 1 +0
Melser KRÜ,,,,0 1 -1,
mta KRÜ,,,,,0 1 -1
