,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,3 2 +1,1 2 -1,5 3 +2,2 2 +0,3 0 +3
heat KRÜ,2 2 +0,5 3 +2,1 3 -2,1 1 +0,5 0 +5
Shyy KRÜ,3 3 +0,3 1 +2,3 1 +2,6 3 +3,1 1 +0
Melser KRÜ,3 2 +1,2 0 +2,2 5 -3,2 4 -2,5 2 +3
mta KRÜ,3 2 +1,6 2 +4,3 3 +0,6 4 +2,3 1 +2
