,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,1 1 +0,,2 1 +1,0 2 -2,
heat KRÜ,,,0 1 -1,,
Shyy KRÜ,,,1 0 +1,2 1 +1,
Melser KRÜ,0 1 -1,,1 0 +1,,3 0 +3
mta KRÜ,,,,1 1 +0,
